Start Date,End Date,Response Type,IP Address,Progress,Enter your participant ID,1. Locate the path for the species - ‘frogs’ using the software for the node-link and treemap diagram,2.  Which animal categories have similar populations in that specific category of species?,"3. Based on the color intensity and the size of the nodes in the arthropods family, the population of 'spiders' is larger than that of 'mites'.",4. To which category of species do ‘jellyfish’ belong?,1. Locate the path to ‘DataSprite’ using the software for the node-link and treemap diagram.,2. To which category of ‘Flare’ does ‘Binary Expression’ belong?,3. ‘NodeLinkTreeLayout’ belongs to the ‘Animate’ category,"4. Based on the color intensity and the size of the nodes in the 'vis' category, 'operator' is in a higher number than 'data'.",1. Locate the path to ‘AMT’ using the software for the node-link and treemap diagram.,2. Which category of companies is the most populated in the treemap based on the color map?,3. To which category of companies does ‘Beverages’ belong?,4. ‘Aerospace & Defense’ belongs to the company category of ‘Communication Services’ :,1. Locate the path to ‘Cornet’ in the treemap node-link diagram.,2. ‘Tubas’ belongs to the ‘Late Romantic Orchestra’ but does not belong to the ‘Classical Orchestra’,"3. Based on color depth and size of the nodes, 'Strings' in the 'Early Romantic Orchestra' is present in a higher quantity than 'Strings' in the 'Modern Orchestra'.",4. ‘Marimba’ belongs to which of the following categories of Orchestras?,Score
10/13/23 8:22,10/13/23 8:45,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Controls -> DataSprite,Query,TRUE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,14
10/13/23 8:24,10/13/23 8:45,IP Address,94.235.234.145,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Late Romantic Orchestra,15
10/13/23 8:28,10/13/23 8:47,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Reptiles and Mammals,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
10/13/23 8:41,10/13/23 8:48,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,Not sure,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
10/13/23 8:30,10/13/23 8:49,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 8:28,10/13/23 8:52,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,Not sure,Crustaceans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,Not sure,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,Not sure,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,12
10/13/23 8:29,10/13/23 8:56,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 8:28,10/13/23 8:56,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Animate,Not sure,Not sure,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Utilities,TRUE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,FALSE,TRUE,Modern Orchestra,9
10/14/23 13:50,10/14/23 14:06,IP Address,138.202.129.36,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Reptiles and Mammals,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
10/13/23 0:23,10/13/23 0:37,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,TRUE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Communication Services,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,14
10/13/23 0:25,10/13/23 0:39,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,FALSE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
10/13/23 0:22,10/13/23 0:40,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 0:23,10/13/23 0:40,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 0:28,10/13/23 0:50,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Crustaceans,Flare -> Vis -> Controls -> DataSprite,Util,FALSE,Not sure,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,FALSE,FALSE,Modern Orchestra,11
10/13/23 0:24,10/13/23 1:04,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 8:30,10/13/23 8:49,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Reptiles and Mammals,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
10/13/23 8:21,10/13/23 8:50,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Clams and Snails,FALSE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,FALSE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,FALSE,FALSE,Modern Orchestra,12
10/13/23 8:27,10/13/23 8:54,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Birds and Fish,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
10/13/23 8:36,10/13/23 8:58,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 8:19,10/13/23 9:02,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 8:27,10/13/23 9:02,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 8:27,10/13/23 9:07,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 8:31,10/13/23 9:15,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 8:34,10/13/23 9:18,IP Address,193.140.54.100,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Birds and Fish,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,FALSE,FALSE,Modern Orchestra,14
10/14/23 13:53,10/14/23 14:14,IP Address,138.202.129.200,96,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,FALSE,FALSE,Modern Orchestra,15
